Actinomyces
Corynebacterium
Arthrobacter
Rothia
Propionibacterium
Atopobium
Sediminibacterium
Porphyromonas
Prevotella
Chryseobacterium
Capnocytophaga
Chryseobacterium
Flavobacterium
Pedobacter
Bacillus
UnclassifiedTM7
Geobacillus
Brevibacillus
Paenibacillus
Staphylococcus
Abiotrophia
Granulicatella
Enterococcus
Lactobacillus
Streptococcus
Clostridium
Coprococcus
Anaerococcus
Dialister
Megasphaera
Veillonella
Fusobacterium
Leptotrichia
Brevundimonas
Bradyrhizobium
Devosia
Afipia
Methylobacterium
Mesorhizobium
Phyllobacterium
Rhizobium
Methylobacterium
Phyllobacterium
Roseomonas
Novosphingobium
Sphingobium
Sphingomonas
Achromobacter
Burkholderia
Acidovorax
Comamonas
Curvibacter
Pelomonas
Cupriavidus
Duganella
Herbaspirillum
Janthinobacterium
Massilia
Oxalobacter
Ralstonia
Leptothrix
kingella
Neisseria
Escherichia
Haemophilus
Acinetobacter
Enhydrobacter
Pseudomonas
Stenotrophomonas
Xanthomonas
